age,gender,region_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_session_duration,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn,plan_tier,logins_90d,active_days_90d,api_calls_90d,session_minutes_90d,days_since_active,days_since_joined
23,F,Town,Yes,Credit/Debit Card Offers,Both,Wi-Fi,16.0,687.96,43481.05,21.0,511.84,Yes,Yes,No,Not Applicable,Poor Website,1,Basic,8,8,280,147.6,6,305
35,M,Village,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,15.0,191.86,18395.4,28.0,696.26,Yes,No,Yes,Solved in Follow-up,Poor Website,1,Basic,14,14,216,321.69,7,531
44,F,Village,No,Without Offers,Desktop,Fiber_Optic,19.0,42.98,36651.05,8.0,776.71,No,Yes,No,Not Applicable,Poor Customer Service,0,Pro,16,14,1653,235.33,1,890
41,M,Village,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,11.0,187.81,2958.27,11.0,683.6,Yes,No,Yes,No Information Available,Too many ads,1,Pro,21,18,1657,325.6,7,804
51,M,Town,Yes,Without Offers,Desktop,Fiber_Optic,2.0,561.79,10022.64,14.0,981.4726092,Yes,No,Yes,Solved,Too many ads,1,Pro,19,17,2149,289.93,0,180
41,F,Town,No,Without Offers,Desktop,Mobile_Data,20.0,152.99,27882.44,15.0,698.25,No,Yes,No,Not Applicable,No reason specified,0,Pro,29,23,1421,682.65,0,329
20,M,Village,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,16.0,85.42,29428.8,23.0,504.6434281,Yes,No,Yes,Solved in Follow-up,Too many ads,1,Basic,17,16,240,357.88,0,1091
63,M,Village,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,20.0,223.4,40371.96,16.0,300.0513899,Yes,Yes,Yes,No Information Available,User Friendly Website,0,Enterprise,36,29,13294,526.75,2,535
37,M,Town,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,11.0,135.18,10880.87,9.0,952.4158433,No,Yes,Yes,Unsolved,Too many ads,1,Basic,15,13,235,289.64,6,35
12,M,City,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,12.0,30.24,33715.39,13.0,796.69,Yes,No,No,Not Applicable,Poor Product Quality,0,Pro,29,22,2387,697.27,9,1011
31,M,Town,No,Without Offers,Desktop,Mobile_Data,10.0,215.01,6089.69,24.0,247.1419626,Yes,No,No,Not Applicable,Poor Product Quality,0,Enterprise,36,28,6936,624.26,1,143
45,M,City,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,6.0,522.84,37038.62,15.0,644.85,Yes,Yes,No,Not Applicable,Too many ads,1,Basic,8,8,414,148.26,9,723
44,F,Town,No,Without Offers,Both,Mobile_Data,18.0,293.41,1514.1,10.0,524.16,Yes,No,No,Not Applicable,Too many ads,1,Basic,11,11,384,270.87,6,994
32,F,Town,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,4.0,181.24,19597.78,16.0,219.2493641,Yes,No,Yes,No Information Available,User Friendly Website,0,Pro,16,15,1614,221.79,1,303
37,F,City,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,14.0,729.99,36109.39,16.0,508.62,No,Yes,Yes,Solved,Poor Customer Service,1,Basic,14,14,292,301.57,9,8
53,F,City,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,13.0,329.85,55679.45,5.0,783.83,Yes,No,Yes,Solved,User Friendly Website,0,Enterprise,17,14,7124,159.15,7,972
28,M,Town,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,12.0,660.53,38380.9,14.0,781.39,Yes,No,No,Not Applicable,No reason specified,0,Pro,21,16,2794,270.15,2,25
18,M,Town,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,5.0,123.15,18276.27,26.0,507.66,Yes,No,Yes,No Information Available,Poor Product Quality,1,Basic,8,8,211,93.98,1,348
14,M,Town,No,Without Offers,Desktop,Wi-Fi,11.0,315.27,45109.68,17.0,571.92,Yes,No,Yes,Unsolved,Too many ads,1,Basic,8,8,223,152.27,12,1070
21,M,Town,Yes,Credit/Debit Card Offers,Both,Mobile_Data,9.0,691.68,25228.45,10.0,800.43,Yes,Yes,No,Not Applicable,Reasonable Price,0,Enterprise,33,28,9048,719.79,3,727
51,M,City,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,13.0,157.08,29661.17,23.0,755.38,No,Yes,No,Not Applicable,Too many ads,0,Pro,20,18,1989,268.63,1,608
35,F,Town,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,21.0,301.64,66233.62,8.0,698.25,No,Yes,No,Not Applicable,User Friendly Website,0,Pro,16,15,1860,254.43,13,931
36,F,City,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,21.0,153.34,39615.09,24.0,769.06,No,Yes,Yes,Unsolved,Poor Product Quality,0,Enterprise,32,28,10809,645.8100000000001,13,802
24,F,Village,No,Without Offers,Smartphone,Mobile_Data,14.0,160.27,49607.97,20.0,698.25,No,Yes,Yes,Solved,Too many ads,1,Pro,39,33,1821,1069.53,3,636
56,M,Town,No,Credit/Debit Card Offers,Desktop,Wi-Fi,24.0,274.3,5601.81,8.0,761.12,Yes,No,No,Not Applicable,No reason specified,0,Pro,23,18,1631,450.2,0,88
42,M,City,No,Credit/Debit Card Offers,Desktop,Wi-Fi,13.0,30.34,2699.26,34.93278193,698.25,Yes,No,Yes,Solved,Too many ads,1,Basic,17,16,360,450.89,0,994
50,M,Town,No,Without Offers,Desktop,Fiber_Optic,4.0,188.43,31289.22,27.0,724.6,No,Yes,Yes,Unsolved,Poor Customer Service,0,Enterprise,30,26,7508,462.52,5,57
40,F,Town,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,19.0,319.57,38519.99,10.0,395.5102233,Yes,No,Yes,Unsolved,Poor Customer Service,1,Basic,13,13,256,197.02,26,847
61,F,Town,Yes,Without Offers,Smartphone,Fiber_Optic,13.0,604.79,25006.28,21.0,367.2473438,No,Yes,No,Not Applicable,Poor Website,0,Pro,26,23,2700,582.39,1,580
62,M,Town,No,Without Offers,Desktop,Wi-Fi,17.0,173.36,48336.83,16.0,724.06,Yes,No,Yes,Solved,Poor Customer Service,0,Enterprise,27,25,10592,421.29,1,23
46,F,City,No,Credit/Debit Card Offers,Desktop,Mobile_Data,7.0,174.18,16320.03,28.0,717.14,No,Yes,No,Not Applicable,Poor Website,1,Pro,28,26,1951,538.0,1,143
46,M,Town,No,Credit/Debit Card Offers,Both,Fiber_Optic,3.0,174.18,8464.49,22.0,751.4,No,Yes,No,Not Applicable,Poor Product Quality,0,Enterprise,43,29,12416,1322.19,2,842
44,F,Village,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,1.0,270.36,89626.11,5.0,725.59,No,Yes,No,Not Applicable,User Friendly Website,0,Enterprise,36,32,13190,832.15,1,559
27,F,City,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,15.0,320.95,34808.39,12.0,702.16,No,Yes,Yes,Unsolved,Too many ads,1,Basic,27,23,296,667.73,4,251
23,M,Town,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,22.0,343.39,21732.79,14.0,698.25,No,Yes,No,Not Applicable,Too many ads,1,Basic,15,13,295,408.06,1,494
44,F,Town,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,9.0,229.89,13275.21,8.0,695.92,No,Yes,No,Not Applicable,Poor Product Quality,1,Basic,14,12,328,251.7,9,125
60,M,Town,No,Credit/Debit Card Offers,Desktop,Wi-Fi,20.0,30.79,54494.93,19.0,422.5848441,Yes,No,No,Not Applicable,Products always in Stock,0,Enterprise,57,42,9588,1102.04,0,846
17,M,Town,No,Without Offers,Desktop,Mobile_Data,13.0,340.37,31843.37,18.0,617.37,Yes,No,No,Not Applicable,Poor Product Quality,1,Pro,16,15,1560,450.52,0,859
38,M,Town,Yes,Without Offers,Smartphone,Wi-Fi,14.0,43.98,40697.2,13.0,551.56,No,Yes,No,Not Applicable,Poor Product Quality,1,Basic,10,9,209,168.34,11,656
38,F,Town,Yes,Without Offers,Both,Wi-Fi,17.0,714.42,47028.44,5.0,663.49,Yes,Yes,No,Not Applicable,Poor Product Quality,1,Pro,27,23,1449,436.84,0,881
56,F,Village,Yes,Credit/Debit Card Offers,Both,Wi-Fi,14.0,635.79,5989.9,26.0,56.96419021,Yes,No,No,Not Applicable,Poor Customer Service,1,Basic,16,16,284,441.97,7,791
62,F,Town,Yes,Without Offers,Smartphone,Mobile_Data,15.0,119.13,42772.39,25.0,729.6,No,Yes,No,Not Applicable,Too many ads,0,Pro,27,25,2301,650.0,1,728
59,F,Town,No,Credit/Debit Card Offers,Desktop,Mobile_Data,25.0,629.8,21156.42,11.0,670.16,Yes,No,No,Not Applicable,Too many ads,1,Basic,10,10,317,210.39,2,642
19,F,Town,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,1.0,704.64,18073.41,9.0,790.36,No,Yes,Yes,No Information Available,No reason specified,0,Pro,30,24,2778,532.6800000000001,8,964
35,F,Village,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,18.0,174.18,67885.94,19.0,770.63,No,Yes,Yes,Unsolved,Quality Customer Care,0,Enterprise,56,40,11941,1548.73,0,267
17,F,Town,No,Without Offers,Desktop,Mobile_Data,19.0,72.76,30259.81,21.0,282.386078,No,Yes,Yes,No Information Available,Too many ads,1,Basic,5,5,327,46.010000000000005,5,599
64,M,Town,No,Without Offers,Smartphone,Mobile_Data,18.0,33.93,35968.73,19.0,703.42,No,Yes,No,Not Applicable,Poor Product Quality,0,Pro,27,24,1193,633.19,0,110
11,F,Village,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,5.0,273.28,13169.63,20.0,709.65,No,Yes,Yes,Unsolved,Poor Website,0,Enterprise,33,31,14694,411.16,0,415
25,F,Town,Yes,Without Offers,Smartphone,Wi-Fi,6.0,33.76,56814.35,8.0,1240.022435,No,Yes,Yes,No Information Available,Quality Customer Care,0,Enterprise,29,25,11564,434.53,0,181
29,F,Town,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,13.0,337.88,43497.53,16.0,686.23,Yes,Yes,Yes,Unsolved,Poor Website,1,Basic,16,15,353,430.17,2,1
48,F,Town,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,13.0,130.71,8208.07,6.0,730.41,No,Yes,No,Not Applicable,Poor Product Quality,0,Pro,23,17,2045,349.14,1,881
63,F,City,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,26.0,109.52,21969.19,11.0,607.57,No,Yes,No,Not Applicable,Poor Website,1,Basic,21,17,404,558.41,8,995
19,M,City,Yes,Credit/Debit Card Offers,Both,Mobile_Data,11.0,810.58,2073.78,20.0,156.2542113,Yes,No,No,Not Applicable,Poor Product Quality,1,Basic,14,13,222,473.77,1,1061
46,F,City,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,13.0,97.58,12527.48,17.0,578.1,No,Yes,Yes,Unsolved,Poor Customer Service,1,Basic,6,6,247,93.64,14,952
15,F,Town,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,13.0,683.64,12374.28,16.0,751.98,Yes,Yes,Yes,Solved,Poor Product Quality,0,Enterprise,40,33,14136,752.11,2,250
63,F,Village,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,15.0,173.25,12910.95,28.0,735.85,Yes,No,Yes,No Information Available,Poor Website,0,Enterprise,42,34,8542,859.85,1,961
19,M,Town,Yes,Without Offers,Smartphone,Mobile_Data,1.0,1594.0,45881.11,24.0,708.44,Yes,No,No,Not Applicable,Poor Website,1,Basic,17,15,264,446.83,5,378
15,M,City,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,10.0,211.96,26014.93,5.0,640.73,Yes,Yes,Yes,Solved in Follow-up,Poor Product Quality,1,Basic,13,11,317,284.68,8,460
52,M,City,No,Without Offers,Desktop,Mobile_Data,12.0,360.19,2187.31,25.0,721.67,Yes,Yes,Yes,Solved,Poor Customer Service,0,Pro,36,29,1936,874.99,2,888
62,M,City,No,Gift Vouchers/Coupons,Both,Wi-Fi,14.0,375.18,3568.77,7.0,743.79,No,Yes,Yes,No Information Available,No reason specified,0,Enterprise,34,28,12321,878.5699999999999,3,213
54,M,City,No,Without Offers,Smartphone,Wi-Fi,6.0,227.2,6267.53,9.0,743.25,Yes,Yes,Yes,Unsolved,Poor Customer Service,0,Pro,24,23,2536,473.45,1,981
57,M,Village,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,13.0,184.91,28872.49,26.0,409.8702457,No,Yes,No,Not Applicable,No reason specified,1,Basic,17,16,297,422.65,3,440
17,M,Town,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,7.0,662.56,19415.22,26.0,778.9,Yes,No,No,Not Applicable,Too many ads,0,Pro,20,19,1940,338.24,9,62
42,M,Town,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,13.0,59.54,45193.99,4.0,722.68,Yes,No,Yes,Solved,Quality Customer Care,0,Enterprise,24,21,10041,409.11,2,161
46,F,City,Yes,Without Offers,Smartphone,Fiber_Optic,17.0,45.0,8161.3,17.0,731.32,No,Yes,No,Not Applicable,Too many ads,0,Enterprise,54,44,12900,1443.85,0,718
25,F,Town,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,9.0,60.32,16892.0,6.0,697.82,Yes,No,Yes,No Information Available,Poor Product Quality,1,Basic,23,21,382,759.2,2,333
30,F,Town,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,21.0,168.35,3432.73,10.0,142.0702459,Yes,No,Yes,No Information Available,Poor Website,1,Basic,15,14,250,370.35,5,198
29,F,Town,Yes,Credit/Debit Card Offers,Both,Mobile_Data,18.0,270.93,47050.54,16.0,647.5,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,1,Pro,27,22,2984,467.01,0,455
33,M,Town,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,4.0,732.7,3029.79,18.0,698.25,Yes,No,No,Not Applicable,Poor Product Quality,1,Basic,15,15,250,291.05,4,325
23,M,City,No,Credit/Debit Card Offers,Both,Fiber_Optic,17.0,212.73,13309.44,16.0,535.87,Yes,No,No,Not Applicable,No reason specified,1,Basic,8,8,472,148.41,40,843
43,M,Town,No,Without Offers,Desktop,Fiber_Optic,16.0,250.93,30433.3,22.0,778.01,Yes,No,No,Not Applicable,Poor Customer Service,0,Pro,15,13,1517,307.55,7,284
45,M,City,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,4.0,117.81,72545.03,13.0,698.25,Yes,No,Yes,Unsolved,User Friendly Website,0,Enterprise,38,33,7773,810.11,1,687
39,M,Town,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,13.0,34.1,20940.04,18.0,717.75,No,Yes,Yes,Unsolved,Poor Customer Service,1,Pro,30,28,1469,465.01,0,483
37,M,City,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,9.0,297.5,56736.61,16.0,810.59,Yes,Yes,No,Not Applicable,Quality Customer Care,0,Enterprise,28,24,15297,433.65,6,728
61,M,City,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,12.0,43.09,14306.64,18.0,1091.2119,No,Yes,Yes,Unsolved,Poor Customer Service,1,Basic,11,10,391,276.02,5,971
58,F,Town,No,Without Offers,Both,Wi-Fi,20.0,231.54,22721.76,16.0,698.25,Yes,Yes,No,Not Applicable,No reason specified,1,Basic,11,10,489,237.42,3,165
48,F,Town,No,Without Offers,Desktop,Fiber_Optic,11.0,154.73,30083.37,7.0,585.95,Yes,No,Yes,Solved in Follow-up,Too many ads,1,Basic,16,14,339,371.61,0,69
14,M,Town,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,11.0,1364.252984,30306.12,5.0,1204.348997,No,Yes,No,Not Applicable,Poor Website,1,Basic,8,8,324,214.14,8,312
57,M,City,No,Without Offers,Desktop,Fiber_Optic,14.0,60.63,23780.76,13.0,620.02,Yes,No,Yes,No Information Available,No reason specified,1,Basic,10,10,404,116.66,2,93
40,F,City,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,6.0,34.21,7474.67,27.0,698.25,Yes,No,Yes,No Information Available,Poor Website,1,Basic,5,4,457,104.26,17,737
45,F,Town,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,17.0,73.04,11691.66,16.0,699.51,No,Yes,No,Not Applicable,Poor Customer Service,1,Basic,7,7,298,153.85,4,746
21,F,Town,Yes,Without Offers,Smartphone,Wi-Fi,9.0,121.15,44318.35,12.0,175.182122,No,Yes,No,Not Applicable,Poor Product Quality,1,Pro,12,10,1818,155.24,4,663
26,F,Town,No,Without Offers,Smartphone,Mobile_Data,16.0,130.21,32769.53,5.0,687.02,Yes,No,Yes,Solved,Too many ads,1,Basic,8,8,220,170.49,3,877
64,F,Town,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,18.0,115.6,49390.82,7.0,669.48,No,Yes,No,Not Applicable,Too many ads,1,Basic,14,13,370,254.88,7,759
36,M,Town,No,Without Offers,Both,Fiber_Optic,3.0,972.776679,26905.49,22.0,700.93,Yes,No,Yes,No Information Available,Poor Customer Service,1,Pro,26,21,2276,451.98,1,440
44,F,Village,No,Without Offers,Desktop,Wi-Fi,9.0,211.44,45827.33,22.0,556.37,No,Yes,No,Not Applicable,Poor Customer Service,1,Basic,16,15,388,274.56,2,225
25,F,Town,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,5.0,1158.29553,37215.85,12.0,693.48,No,Yes,Yes,No Information Available,No reason specified,1,Basic,18,16,410,291.75,0,132
14,M,Town,No,Credit/Debit Card Offers,Desktop,Mobile_Data,7.0,32.75,45618.14,26.0,268.5193806,No,Yes,Yes,Solved,Poor Website,1,Pro,38,29,2301,1008.33,6,76
51,M,Town,No,Credit/Debit Card Offers,Both,Fiber_Optic,9.0,298.91,13834.05,6.0,698.25,No,Yes,Yes,Solved,Poor Website,1,Basic,16,15,290,486.12,4,337
15,F,Town,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,8.0,85.02,28529.44,19.0,775.38,No,Yes,No,Not Applicable,Too many ads,0,Enterprise,15,14,9923,191.54,4,100
41,F,Town,No,Without Offers,Smartphone,Mobile_Data,22.0,31.52,7612.77,21.0,624.72,No,Yes,No,Not Applicable,No reason specified,1,Pro,37,31,1874,1015.9,6,1090
63,F,City,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,7.0,30.12,21239.56,16.0,784.27,Yes,No,Yes,Unsolved,Poor Product Quality,0,Enterprise,51,37,12495,1310.25,0,97
39,F,Town,No,Without Offers,Smartphone,Fiber_Optic,7.0,467.12,32955.74,16.0,764.17,No,Yes,No,Not Applicable,User Friendly Website,0,Pro,23,22,1467,374.98,1,726
44,M,Town,No,Without Offers,Desktop,Wi-Fi,20.0,32.08,18078.36,15.0,1212.203694,Yes,No,No,Not Applicable,Poor Customer Service,0,Enterprise,24,18,10151,332.44,2,890
22,F,City,Yes,Without Offers,Smartphone,Fiber_Optic,22.0,280.16,41051.11,16.0,561.81,Yes,No,Yes,Unsolved,Poor Website,1,Basic,17,16,273,308.05,3,926
46,M,Town,No,Without Offers,Desktop,Mobile_Data,17.0,192.91,2574.52,11.0,217.2062234,Yes,No,No,Not Applicable,Poor Customer Service,1,Basic,3,3,352,38.48,0,444
53,M,Village,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,1.0,31.55,60670.84,1.0,777.34,No,Yes,No,Not Applicable,Products always in Stock,0,Enterprise,39,31,12286,756.04,2,637
50,F,Town,No,Without Offers,Desktop,Mobile_Data,17.0,132.18,22415.83,28.0,670.26,Yes,No,No,Not Applicable,Poor Product Quality,1,Pro,30,24,2054,513.8,4,112
53,M,City,No,Without Offers,Smartphone,Fiber_Optic,5.0,79.08,69520.83,10.0,792.27,No,Yes,No,Not Applicable,Quality Customer Care,0,Pro,25,18,1198,428.81,1,169
48,F,City,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,9.0,81.11,32825.4,16.0,646.11,Yes,No,No,Not Applicable,Poor Website,1,Basic,7,7,435,141.41,21,501
57,M,City,No,Credit/Debit Card Offers,Desktop,Mobile_Data,4.0,449.22,44245.52,11.0,783.66,Yes,Yes,No,Not Applicable,Poor Product Quality,0,Enterprise,43,39,7398,1183.55,0,874
33,M,Town,No,Without Offers,Desktop,Fiber_Optic,15.0,229.72,56390.11,16.0,767.21,No,Yes,Yes,No Information Available,Products always in Stock,0,Pro,29,26,1368,661.8,1,542
10,F,Town,Yes,Without Offers,Desktop,Wi-Fi,22.0,149.97,29546.28,26.0,712.5,Yes,No,Yes,Solved in Follow-up,Poor Website,0,Pro,34,30,2048,797.72,4,942
39,F,Village,No,Credit/Debit Card Offers,Desktop,Mobile_Data,22.0,164.91,39939.74,29.0,710.61,No,Yes,Yes,Solved in Follow-up,No reason specified,1,Pro,18,14,2160,263.66,4,843
28,M,Town,Yes,Without Offers,Desktop,Fiber_Optic,18.0,111.21,11623.12,27.0,574.46,Yes,No,Yes,No Information Available,Poor Customer Service,1,Basic,15,14,313,291.8,7,841
61,M,City,No,Credit/Debit Card Offers,Desktop,Mobile_Data,9.0,1701.828038,34458.92,17.0,609.41,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,0,Pro,23,22,1248,462.74,1,662
61,F,Town,No,Credit/Debit Card Offers,Desktop,Mobile_Data,20.0,167.14,43109.29,9.0,766.66,No,Yes,No,Not Applicable,Too many ads,0,Pro,22,19,2033,468.05,5,624
18,M,Town,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,14.0,130.26,35285.73,12.0,809.19,No,Yes,No,Not Applicable,User Friendly Website,0,Enterprise,26,21,8216,424.39,0,246
40,F,Town,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13.0,92.35,9418.14,16.0,739.13,No,Yes,Yes,No Information Available,No reason specified,0,Pro,20,19,1681,230.43,3,905
23,M,City,Yes,Without Offers,Desktop,Fiber_Optic,7.0,721.88,15788.89,6.0,665.81,Yes,Yes,No,Not Applicable,Poor Product Quality,1,Basic,11,11,410,107.12,6,996
11,F,Village,No,Without Offers,Smartphone,Wi-Fi,13.0,351.38,40391.03,16.0,772.16,No,Yes,No,Not Applicable,Products always in Stock,0,Pro,18,15,2252,330.72,3,679
38,F,City,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,6.0,32.74,44063.91,6.0,659.68,No,Yes,Yes,Solved,Poor Customer Service,1,Basic,15,13,229,373.01,14,274
56,M,Town,Yes,Without Offers,Smartphone,Wi-Fi,4.0,201.27,3618.41,18.0,696.34,Yes,No,No,Not Applicable,Poor Product Quality,0,Basic,17,16,375,517.3,3,69
27,M,Village,No,Without Offers,Smartphone,Fiber_Optic,17.0,33.11,45947.78,16.0,747.11,No,Yes,Yes,No Information Available,No reason specified,0,Pro,20,17,1743,325.91,0,235
36,F,Town,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13.0,149.27,22063.98,16.0,550.66,No,Yes,No,Not Applicable,Too many ads,1,Basic,15,15,375,203.65,3,832
61,M,Village,Yes,Without Offers,Smartphone,Wi-Fi,3.0,293.87,28163.12,9.0,285.1348477,Yes,No,Yes,Solved,Too many ads,0,Enterprise,49,39,9909,1254.26,0,94
23,F,City,Yes,Without Offers,Desktop,Wi-Fi,14.0,161.1,38166.92,16.0,631.23,Yes,No,No,Not Applicable,Poor Website,1,Pro,21,18,2253,344.39,5,88
53,M,Town,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,21.0,74.15,30131.91,9.0,706.83,No,Yes,No,Not Applicable,Quality Customer Care,0,Enterprise,46,36,10630,1207.81,2,476
61,F,Town,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,9.0,558.3,40405.12,25.0,621.02,No,Yes,No,Not Applicable,Poor Product Quality,1,Basic,10,9,423,200.51,2,591
64,M,City,Yes,Without Offers,Both,Mobile_Data,13.0,536.94,27241.0,12.0,710.05,Yes,No,No,Not Applicable,Too many ads,0,Enterprise,35,30,9619,733.58,0,987
42,M,Town,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,13.0,323.79,22477.22,14.0,130.3720988,Yes,No,Yes,Solved,Poor Website,1,Basic,5,5,275,78.14,41,351
61,M,Town,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,16.0,191.64,43645.31,18.0,551.26,No,Yes,Yes,Unsolved,Poor Customer Service,1,Basic,12,12,266,334.66,1,819
36,M,Village,Yes,Without Offers,Desktop,Mobile_Data,12.0,31.21,7332.95,13.0,785.15,Yes,No,No,Not Applicable,Poor Website,0,Pro,27,22,1907,630.72,0,689
25,M,City,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,24.0,370.95,33470.9,6.0,687.14,Yes,No,No,Not Applicable,No reason specified,1,Pro,35,28,1545,881.77,0,611
64,F,Town,No,Without Offers,Smartphone,Mobile_Data,13.0,202.92,31295.34,16.0,1048.121858,No,Yes,Yes,No Information Available,Poor Website,1,Pro,29,25,1887,716.16,6,614
35,M,Town,No,Without Offers,Desktop,Fiber_Optic,10.0,50.62,28003.79,18.0,796.9,No,Yes,No,Not Applicable,Reasonable Price,0,Enterprise,37,29,7364,715.92,0,540
18,F,Town,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,7.0,1023.997352,40415.41,19.0,716.44,Yes,No,Yes,Solved in Follow-up,No reason specified,1,Basic,4,4,407,58.01,12,793
19,F,City,No,Without Offers,Desktop,Wi-Fi,24.0,193.58,35090.61,16.0,698.25,Yes,No,Yes,Unsolved,Too many ads,0,Pro,21,18,1620,371.43,6,241
17,M,Town,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,15.0,88.97,25053.13,15.0,782.53,No,Yes,No,Not Applicable,Poor Product Quality,0,Enterprise,63,47,8056,1672.89,1,1090
58,F,Town,No,Without Offers,Both,Wi-Fi,10.0,452.12,15825.83,7.0,647.31,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,1,Basic,14,13,417,402.67,1,611
15,F,Town,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,13.0,90.28,11573.44,12.0,527.4,No,Yes,No,Not Applicable,Poor Customer Service,1,Basic,11,10,222,236.64,1,536
10,M,Town,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,13.0,170.74,34922.36,8.0,609.97,Yes,No,Yes,No Information Available,Poor Customer Service,1,Pro,36,31,1648,771.15,3,575
31,F,Village,No,Without Offers,Desktop,Wi-Fi,13.0,88.57,56597.58,13.0,815.96,Yes,No,Yes,Unsolved,Products always in Stock,0,Enterprise,48,39,7859,1191.84,1,652
53,M,City,No,Without Offers,Desktop,Mobile_Data,13.0,340.01,49711.97,16.0,556.3,No,Yes,No,Not Applicable,Poor Product Quality,1,Basic,21,19,354,569.5500000000001,2,731
60,F,Town,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,16.0,33.83,16863.84,8.0,378.2291936,Yes,No,Yes,Solved in Follow-up,Too many ads,1,Basic,8,8,247,130.28,7,638
21,F,Town,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,20.0,77.88,16122.8,9.0,707.54,Yes,No,No,Not Applicable,Too many ads,0,Pro,27,23,1737,491.39,3,109
57,M,Town,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,25.0,92.44,34011.55,5.0,1162.176844,Yes,No,Yes,No Information Available,Poor Product Quality,1,Basic,19,16,320,457.31,7,502
20,F,City,No,Without Offers,Smartphone,Wi-Fi,9.0,237.63,18803.23,11.0,616.58,Yes,No,Yes,Solved,Too many ads,1,Pro,16,16,2152,271.91,27,339
