age,gender,security_no,region_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_session_duration,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn,plan_tier,logins_90d,active_days_90d,api_calls_90d,session_minutes_90d,days_since_active
23,M,H4KMUN9,City,25-02-2015,No,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,22:00:40,20,458.91,12152.82,Error,793.78,Yes,Yes,No,Not Applicable,Poor Customer Service,0,Enterprise,43,36,6290,972.12,3
61,M,SVE9DKW,City,11-04-2017,?,CID53124,Gift Vouchers/Coupons,Desktop,Fiber_Optic,13:07:48,11,51.79,34538.51,5,711.16,Yes,No,Yes,Unsolved,No reason specified,0,Enterprise,39,28,8362,823.28,1
53,M,Q4MYFNI,Town,10-02-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,21:03:54,-999,142.61,45257.26,22,783.06,No,Yes,Yes,Unsolved,Poor Product Quality,0,Pro,25,20,1770,501.07,10
36,M,PG6TJWV,Town,28-08-2017,Yes,CID40758,Gift Vouchers/Coupons,Desktop,Wi-Fi,14:31:58,12,100.86,36736.23,10,622.57,Yes,No,No,Not Applicable,Too many ads,1,Pro,28,24,1637,824.13,3
52,F,8VZ3RIG,City,11-11-2017,Yes,CID3724,Gift Vouchers/Coupons,Desktop,Mobile_Data,17:44:34,14,31.8,36402.1,15,678.7,No,Yes,Yes,Unsolved,Poor Product Quality,1,Basic,16,15,254,392.97,4
13,F,Y6TIC2L,Village,13-05-2017,Yes,CID60721,Gift Vouchers/Coupons,Smartphone,Mobile_Data,17:45:07,8,751.87,34431.19,22,627.14,Yes,No,No,Not Applicable,No reason specified,1,Basic,12,10,292,199.83,3
32,F,07GGYGZ,Town,01-01-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,7:20:22,15,117.91,43075.99,24,660.87,Yes,No,Yes,Solved,Poor Customer Service,1,Pro,17,15,1853,268.90999999999997,1
53,M,N47XX18,City,09-06-2017,Yes,CID51877,Credit/Debit Card Offers,Smartphone,Fiber_Optic,19:55:17,9,205.15,38866.99,21,778.79,Yes,No,Yes,Unsolved,Too many ads,0,Pro,21,18,1810,339.11,4
35,M,9FV4VRS,Town,21-10-2015,Yes,CID33990,Credit/Debit Card Offers,Desktop,Fiber_Optic,12:07:22,13,291.86,47153.05,22,179.8590819,Yes,No,Yes,No Information Available,No reason specified,1,Basic,17,16,306,254.54,10
62,F,7WAJN4S,,08-07-2017,Yes,CID56426,Without Offers,Desktop,Mobile_Data,19:13:22,4,32.03,14050.22,24,78.29875102,No,Yes,No,Not Applicable,Poor Customer Service,1,Pro,25,23,1961,452.06,4
62,M,ZCN4BJ8,Town,05-10-2017,Yes,CID19831,Without Offers,Both,Wi-Fi,7:11:27,13,893.7,23974.23,11,747.18,No,Yes,No,Not Applicable,Poor Product Quality,0,Enterprise,62,46,8373,1531.8899999999999,0
42,F,S5T2DLB,,14-07-2017,?,CID45621,Credit/Debit Card Offers,?,Mobile_Data,1:15:02,21,101.67,25379.03,22,636.08,No,Yes,No,Not Applicable,Poor Website,1,Basic,7,7,301,148.14,15
30,F,INUMEDC,City,14-03-2017,Yes,CID8898,Without Offers,Desktop,Fiber_Optic,16:16:00,4,694.02,27202.38,15,761.87,Yes,No,No,Not Applicable,Reasonable Price,0,Enterprise,49,33,8335,1288.92,1
29,M,KNQH2D9,Town,19-05-2017,?,CID28138,Credit/Debit Card Offers,Both,Fiber_Optic,19:48:48,3,222.74,17214.96,23,739.85,Yes,No,Yes,Solved,Poor Product Quality,0,Pro,17,14,2958,281.94,3
29,M,K6KUFHE,City,08-11-2015,No,xxxxxxxx,Credit/Debit Card Offers,?,Mobile_Data,18:14:55,-999,-705.8398848,14934.79,12,614.2,Yes,No,No,Not Applicable,Poor Website,1,Pro,23,20,2591,411.54,5
64,M,8ZUG79Z,City,12-02-2017,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,7:41:09,18,137.76,47333.97,21,739.76,No,Yes,Yes,Unsolved,Poor Website,0,Pro,37,31,1610,1104.55,1
39,M,Z5NI8A5,Town,24-04-2016,Yes,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,11:24:04,19,58.77,26070.77,24,,Yes,No,Yes,Solved,Poor Website,1,Basic,13,13,263,241.82,0
58,F,1LDW2KO,Town,09-03-2015,Yes,CID6042,Gift Vouchers/Coupons,Desktop,Fiber_Optic,10:32:21,23,239.36,21123.92,16,526.71,No,Yes,Yes,Solved in Follow-up,No reason specified,1,Basic,12,12,275,265.68,9
17,F,BBR0SLR,Village,19-07-2015,Yes,CID36499,Gift Vouchers/Coupons,Desktop,Wi-Fi,16:00:05,12,932.18,34522.46,5,610.07,Yes,Yes,No,Not Applicable,Poor Customer Service,1,Basic,8,8,313,100.47,10
12,M,TH3XZHS,City,08-01-2015,Yes,CID10241,Without Offers,Smartphone,Wi-Fi,0:28:51,15,-933.2461792,26387.48,7,1211.076402,Yes,No,No,Not Applicable,Too many ads,1,Basic,12,11,229,235.55,7
16,M,S20IYDA,City,09-02-2015,?,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,23:51:14,4,-761.7047955,4423.4,13,613.22,No,Yes,Yes,Solved,Poor Customer Service,1,Pro,16,15,2169,205.14,12
36,M,TJYU7RH,City,26-02-2015,Yes,CID39186,Gift Vouchers/Coupons,Smartphone,Wi-Fi,13:08:30,11,122.15,39357.33,19,754.83,No,Yes,Yes,No Information Available,Too many ads,0,Pro,26,22,2906,618.63,0
31,M,X2YLTRX,City,15-05-2015,Yes,CID4380,Credit/Debit Card Offers,?,Wi-Fi,10:30:38,13,437.63,1607.59,25,645.67,Yes,Yes,No,Not Applicable,Poor Customer Service,1,Basic,11,10,239,209.10000000000002,20
37,F,478I8SP,Town,09-01-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,3:23:02,19,43.03,44048.22,7,618.35,No,Yes,No,Not Applicable,Too many ads,1,Pro,30,28,1560,826.25,3
38,M,2MX9YJP,Village,19-10-2015,Yes,xxxxxxxx,Credit/Debit Card Offers,?,Fiber_Optic,9:57:13,15,107.66,34313.81,20,632.42,No,Yes,No,Not Applicable,Poor Product Quality,1,Basic,14,13,371,339.07,8
58,M,BJ8H7X3,Town,18-04-2017,Yes,CID51299,Without Offers,Smartphone,Fiber_Optic,1:33:21,15,126.21,29392.7,20,687.01,Yes,No,No,Not Applicable,No reason specified,1,Basic,17,14,388,469.28000000000003,2
14,F,9BXI0X6,Town,25-05-2016,Yes,CID7750,Gift Vouchers/Coupons,Smartphone,Wi-Fi,10:32:08,19,1138.10023,35071.61,Error,751.22,Yes,No,No,Not Applicable,Poor Customer Service,0,Enterprise,39,33,9429,672.98,0
56,M,PAVICUB,Village,04-01-2017,Yes,CID37003,Without Offers,Smartphone,Fiber_Optic,11:01:35,10,103.76,48469.78,Error,791.83,No,Yes,No,Not Applicable,Poor Website,0,Pro,17,16,2338,225.37,0
21,M,QSXL9AN,Town,07-09-2017,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,0:11:28,-999,306.71,72816.72,17,779.77,No,Yes,No,Not Applicable,Reasonable Price,0,Pro,29,25,2483,672.77,4
44,F,BU41BQD,City,20-06-2017,No,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,20:22:06,-999,65.74,8710.57,27,,Yes,No,Yes,Solved,Poor Customer Service,1,Basic,20,18,412,557.8,12
53,M,YA066BZ,,21-08-2015,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,20:47:14,3,34.7,45108.94,13,502.09,No,Yes,Yes,Solved,Poor Customer Service,1,Basic,14,13,198,335.35,6
19,F,L1YNFIS,City,29-01-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,6:52:58,23,349.88,45797.31,20,547.9,Yes,No,Yes,Unsolved,Poor Website,1,Basic,9,9,400,248.26,5
19,F,MOVRO2T,Village,23-06-2015,Yes,CID20819,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,20:32:17,7,31.8,37498.53,23,,Yes,No,No,Not Applicable,Too many ads,0,Enterprise,57,40,12700,1540.3,0
54,F,XCA5YMX,Town,05-11-2017,Yes,CID59176,Credit/Debit Card Offers,Desktop,Fiber_Optic,17:57:36,10,525.59,29327.7,18,525.75,Yes,No,No,Not Applicable,Too many ads,1,Basic,17,17,300,401.64,1
40,M,GOHDVGR,,20-06-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,3:58:47,16,274.16,62069.53,-10.46938038,823.18,Yes,No,No,Not Applicable,Products always in Stock,0,Pro,31,23,2368,792.3,1
53,M,08YRQBW,City,19-03-2015,No,xxxxxxxx,Without Offers,?,Mobile_Data,15:38:26,10,94.14,7154.02,18,,Yes,No,No,Not Applicable,No reason specified,1,Basic,18,15,274,582.36,1
34,F,4D4IR5W,Town,26-12-2016,Yes,CID37084,Credit/Debit Card Offers,Both,Mobile_Data,12:16:39,-999,732.11,43403.0,9,644.55,Yes,No,Yes,No Information Available,Poor Website,1,Basic,18,16,341,455.16,7
39,M,KCQL0BQ,Town,20-07-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,23:10:50,21,173.11,14571.42,23,711.75,No,Yes,No,Not Applicable,Poor Product Quality,1,Basic,7,6,263,100.92999999999999,12
10,M,RJOOU9E,City,04-03-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,19:47:04,9,329.06,1825.55,22,611.01,No,Yes,Yes,Unsolved,Poor Product Quality,1,Basic,12,12,387,332.35,8
59,F,X0QK9S0,Town,11-10-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Both,Wi-Fi,22:47:50,4,314.12,43474.91,22,761.44,No,Yes,No,Not Applicable,Poor Product Quality,0,Pro,33,25,1852,824.48,0
45,M,CAPPD0Z,City,14-03-2017,Yes,CID51507,Gift Vouchers/Coupons,Desktop,Wi-Fi,15:25:07,13,63.61,28335.12,7,,Yes,No,Yes,Solved,Poor Product Quality,1,Basic,18,17,326,396.0,4
28,M,1DFVWVG,Town,04-12-2017,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,0:38:07,15,-1046.109105,45414.83,29,690.82,Yes,No,No,Not Applicable,Poor Product Quality,1,Pro,37,32,1713,981.5,0
37,F,ESNAZVB,City,29-01-2017,Yes,CID6992,Without Offers,Smartphone,Fiber_Optic,16:58:04,20,288.92,43252.58,17,632.75,Yes,Yes,No,Not Applicable,Poor Customer Service,1,Basic,12,11,258,189.69,1
44,M,66INM7T,Town,03-06-2017,Yes,CID33172,Gift Vouchers/Coupons,?,Fiber_Optic,20:34:55,7,567.7,20904.5,18,769.82,No,Yes,No,Not Applicable,No reason specified,0,Pro,29,24,1742,571.83,5
59,M,87ZRKBX,Town,28-07-2016,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,9:39:26,5,31.87,32898.93,12,739.35,No,Yes,No,Not Applicable,Poor Customer Service,0,Pro,33,28,1951,756.16,3
31,M,L38728E,Village,14-03-2017,Yes,CID39549,Credit/Debit Card Offers,Both,Fiber_Optic,20:12:20,23,603.36,6458.95,24,1424.792974,No,Yes,No,Not Applicable,Poor Customer Service,1,Pro,16,15,2270,287.01,1
55,F,68J2WUG,City,05-03-2015,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,10:47:26,-999,31.78,4918.24,19,693.1,No,Yes,Yes,No Information Available,No reason specified,1,Pro,31,25,1624,770.03,0
50,F,AIALJIF,Town,01-06-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Both,Mobile_Data,17:51:51,7,220.46,29054.55,Error,646.65,No,Yes,No,Not Applicable,Poor Website,1,Basic,16,16,362,427.74,0
36,M,6VXWIBZ,Village,15-10-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,22:11:36,10,32.04,37641.89,23,694.43,Yes,No,No,Not Applicable,Poor Customer Service,1,Basic,9,9,242,177.87,10
22,M,62FKCHN,Town,10-01-2017,Yes,CID8642,Without Offers,Smartphone,Mobile_Data,9:36:50,10,-629.9028819,856.28,22,677.39,No,Yes,No,Not Applicable,Poor Customer Service,1,Basic,27,22,350,767.74,1
27,M,OI38XIF,Town,28-10-2016,?,CID42795,Gift Vouchers/Coupons,Desktop,Fiber_Optic,9:34:02,11,215.12,25545.97,Error,682.81,Yes,No,Yes,Solved,Poor Customer Service,1,Basic,7,6,377,135.48999999999998,6
39,F,6X2DC6R,Town,24-08-2015,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,7:24:59,12,67.84,31074.11,29,651.96,No,Yes,Yes,Unsolved,Too many ads,1,Pro,32,25,2182,700.26,3
45,M,V61YG8U,Village,16-09-2016,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,20:52:22,19,180.77,32018.04,9,738.69,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,0,Pro,31,27,2229,586.02,0
31,M,T1BXXXV,City,12-12-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,6:10:15,3,30.55,38798.75,17,,No,Yes,No,Not Applicable,Too many ads,1,Basic,9,8,451,149.79,24
27,F,K9AFEB3,City,28-07-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,21:55:18,17,198.55,24612.37,12,266.6037769,Yes,No,No,Not Applicable,Poor Website,1,Pro,23,18,1734,288.86,1
40,M,2QZH5I3,Town,04-10-2016,Yes,xxxxxxxx,Without Offers,Desktop,Wi-Fi,0:29:48,18,147.13,20564.46,13,570.77,Yes,No,Yes,Solved,Too many ads,1,Basic,8,8,396,92.91,3
61,M,LHQJ64Q,Town,05-01-2015,?,CID63455,Credit/Debit Card Offers,Both,Mobile_Data,3:45:11,23,679.4,16074.51,17,,No,Yes,No,Not Applicable,Too many ads,1,Basic,10,10,395,192.64999999999998,8
10,M,JRE4TT3,Town,03-11-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,7:13:26,18,239.45,8052.19,22,636.02,Yes,No,No,Not Applicable,Poor Product Quality,1,Pro,20,16,2362,402.93,6
21,M,WQY7YAY,,20-01-2017,No,xxxxxxxx,Without Offers,?,Fiber_Optic,9:29:35,6,127.61,37742.81,17,678.27,Yes,No,No,Not Applicable,Too many ads,1,Basic,16,16,267,316.23,12
61,M,SCZZIQ2,Town,03-09-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,7:46:07,23,312.99,18335.96,21,525.25,Yes,No,No,Not Applicable,Poor Product Quality,1,Basic,15,15,328,517.71,1
51,F,9EJSO7Q,Town,18-04-2016,Yes,CID63089,Credit/Debit Card Offers,Desktop,Mobile_Data,5:46:24,14,267.73,41026.92,10,1039.075618,Yes,Yes,Yes,Unsolved,Poor Customer Service,1,Basic,6,6,216,159.62,22
25,F,CPZTICN,Village,10-04-2015,No,xxxxxxxx,Without Offers,Smartphone,Wi-Fi,12:34:50,3,160.19,26216.17,11,,No,Yes,Yes,Solved in Follow-up,Too many ads,0,Pro,21,17,2411,357.77,1
44,M,2Y4TLYW,Town,14-02-2015,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,19:14:58,17,64.19,32265.27,5,619.01,No,Yes,No,Not Applicable,Too many ads,1,Basic,27,22,286,697.72,4
36,F,17SERZD,Town,27-02-2017,Yes,CID61566,Gift Vouchers/Coupons,Desktop,Wi-Fi,17:57:21,6,91.6,15071.48,22,,Yes,No,Yes,Solved in Follow-up,No reason specified,0,Pro,27,23,2156,653.88,4
34,M,2WWZ283,Village,20-08-2015,Yes,CID12304,Without Offers,Both,Wi-Fi,17:19:50,13,313.12,26337.83,11,556.52,Yes,Yes,No,Not Applicable,Poor Customer Service,1,Basic,14,12,259,293.98,1
63,M,NIZDNZL,,18-04-2017,Yes,CID55849,Credit/Debit Card Offers,Desktop,Fiber_Optic,15:35:17,5,61.55,35519.23,25,663.16,Yes,No,Yes,No Information Available,Too many ads,1,Basic,13,12,223,242.68,5
26,F,CS53NU5,City,19-02-2015,?,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,6:51:19,1,-796.1831255,43942.38,25,-69.60724743,Yes,No,Yes,Solved in Follow-up,No reason specified,0,Enterprise,48,35,13743,1096.04,3
23,M,2ZSPD01,Town,30-07-2016,Yes,CID30944,Gift Vouchers/Coupons,Desktop,Mobile_Data,10:28:31,17,930.77,4974.09,29,503.64,Yes,Yes,No,Not Applicable,Poor Customer Service,1,Basic,12,12,283,243.21,13
24,M,QK8OG7D,Town,22-02-2017,No,xxxxxxxx,Without Offers,Smartphone,Wi-Fi,9:45:19,16,183.19,17118.23,29,1038.348855,Yes,No,No,Not Applicable,Too many ads,1,Basic,9,9,212,85.24,0
60,F,6E9XXLM,City,17-07-2015,?,CID24775,Credit/Debit Card Offers,Smartphone,Wi-Fi,11:48:55,5,533.68,34164.37,16,632.55,No,Yes,Yes,Solved,No reason specified,1,Basic,12,12,390,300.26,6
34,F,7VQTUMB,,18-07-2015,Yes,CID19563,Credit/Debit Card Offers,Both,Mobile_Data,22:17:11,14,1059.56,21815.18,15,704.86,Yes,Yes,Yes,Unsolved,Too many ads,0,Enterprise,29,22,10493,380.75,11
55,M,76FV9UR,Town,15-03-2015,?,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,10:02:21,12,96.98,12450.0,26,796.12,Yes,No,No,Not Applicable,Too many ads,0,Pro,30,24,1756,615.9399999999999,2
40,M,79J3WZZ,Village,19-07-2016,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,21:34:28,10,168.19,17365.42,15,412.0690261,Yes,No,Yes,Unsolved,Poor Website,1,Basic,14,14,282,296.59,6
45,M,KUPG2QT,City,08-02-2017,Yes,CID58078,Credit/Debit Card Offers,Smartphone,Mobile_Data,15:50:24,11,107.5,31477.22,24,619.49,No,Yes,Yes,No Information Available,Poor Product Quality,1,Basic,16,16,316,316.67,6
30,M,DTK1WEE,Town,23-04-2015,?,CID9822,Without Offers,?,Fiber_Optic,0:32:42,3,120.28,40643.28,43.90774162,671.65,Yes,No,No,Not Applicable,No reason specified,1,Basic,10,9,376,166.47,0
50,M,TH6N7BU,City,08-04-2015,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,17:04:49,19,111.84,15205.8,-4.366406801,586.25,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,0,Basic,13,13,255,321.74,7
39,F,Z9PJ77W,City,28-11-2016,Yes,CID23919,Without Offers,Smartphone,Wi-Fi,5:03:41,14,1388.48658,3390.41,15,580.6,Yes,No,Yes,Solved,No reason specified,1,Basic,5,4,368,63.33,3
57,M,DYHN2TR,,30-07-2017,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,7:45:45,14,32.32,4168.27,15,,Yes,No,No,Not Applicable,Poor Product Quality,1,Basic,15,15,418,404.39,4
10,M,8U8FX6D,Town,24-01-2017,No,xxxxxxxx,Without Offers,?,Wi-Fi,18:45:35,13,436.74,49933.06,12,588.07,Yes,No,Yes,Unsolved,Poor Product Quality,1,Basic,11,11,434,225.29,1
23,F,AFWBP5V,,15-11-2016,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,19:48:53,7,30.13,30519.87,14,,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,0,Enterprise,37,30,7668,796.08,0
10,F,T3BN6P4,,06-10-2016,Yes,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,5:50:02,19,66.21,11526.88,Error,695.85,No,Yes,No,Not Applicable,Poor Customer Service,1,Basic,16,15,227,461.12,2
17,F,25X42E2,City,30-03-2017,Yes,CID34645,Without Offers,?,Wi-Fi,1:09:45,9,249.02,26277.45,13,618.98,Yes,No,Yes,Solved,Poor Product Quality,1,Pro,22,20,2103,328.04,2
25,M,V87QNEP,City,09-06-2016,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,23:46:17,16,239.48,6054.57,4,775.55,No,Yes,Yes,Solved in Follow-up,User Friendly Website,0,Enterprise,55,44,12724,1521.82,1
19,F,6WCL7DE,Town,21-06-2017,?,CID46998,Without Offers,Smartphone,Fiber_Optic,10:38:18,18,53.7,47421.49,13,481.9091256,No,Yes,No,Not Applicable,Too many ads,0,Pro,27,25,2478,481.73,0
57,F,3PLK71F,City,08-09-2015,Yes,CID5623,Credit/Debit Card Offers,Desktop,Fiber_Optic,13:10:25,5,534.84,23174.51,Error,616.43,Yes,Yes,Yes,Solved in Follow-up,Poor Product Quality,1,Basic,11,11,349,304.28,7
14,F,MG1I0DL,Town,29-03-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,23:42:32,8,61.67,29371.41,8,789.8388568,Yes,No,Yes,Solved,Too many ads,0,Enterprise,34,30,9083,571.25,0
16,F,XFSKN9R,Village,09-05-2016,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,10:09:26,-999,214.19,4174.34,6,644.51,No,Yes,Yes,Unsolved,Poor Website,1,Basic,9,9,237,121.84,11
47,F,WBE6PNE,Town,26-06-2015,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,23:01:14,-999,194.13,5005.59,11,736.48,No,Yes,Yes,Solved in Follow-up,No reason specified,0,Enterprise,29,24,13288,483.90000000000003,5
11,F,I7GWC05,Town,27-07-2017,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,7:32:07,11,128.71,3212.14,23,714.28,No,Yes,No,Not Applicable,Too many ads,1,Pro,37,31,2319,839.14,0
32,F,PMTE8CA,Town,24-01-2015,Yes,CID24188,Without Offers,Desktop,Wi-Fi,16:33:42,-999,150.0,31324.85,Error,756.71,No,Yes,No,Not Applicable,Poor Product Quality,0,Enterprise,30,25,6877,519.38,2
53,F,QRSB0CP,Town,15-02-2015,?,CID52976,Without Offers,Desktop,Mobile_Data,7:59:39,16,155.5,23479.84,18,904.3954721,No,Yes,No,Not Applicable,No reason specified,1,Pro,26,20,2681,521.37,7
28,M,ZGG6GT4,City,19-08-2016,?,CID27099,Gift Vouchers/Coupons,Smartphone,Wi-Fi,16:44:23,16,231.55,2097.19,15,147.9907394,Yes,No,Yes,No Information Available,Too many ads,1,Basic,16,15,331,285.48,6
16,M,N5G381Y,Village,31-08-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,8:11:37,9,74.1,7367.48,10,1214.797131,No,Yes,No,Not Applicable,No reason specified,1,Pro,25,20,2693,475.58,6
46,M,21WZ59Q,City,01-06-2017,Yes,CID41427,Without Offers,Smartphone,Fiber_Optic,13:05:38,19,58.81,39134.97,26,782.4,Yes,No,No,Not Applicable,Poor Product Quality,0,Enterprise,42,29,6360,1059.18,1
19,M,2FQIV4Q,Village,09-08-2015,Yes,CID35433,Gift Vouchers/Coupons,Smartphone,Wi-Fi,13:25:37,10,520.54,16167.97,16,974.67045,Yes,No,Yes,No Information Available,Poor Website,0,Pro,29,22,2641,634.76,0
17,F,3UVF5Q2,City,11-07-2016,?,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,9:37:24,3,86.45,41217.05,26,620.19,No,Yes,Yes,No Information Available,Too many ads,1,Basic,16,16,246,208.37,20
24,F,5RXUOKP,City,30-06-2016,?,CID47858,Without Offers,Desktop,Wi-Fi,2:31:54,14,148.84,23663.39,19,231.9762263,Yes,No,Yes,Unsolved,User Friendly Website,0,Enterprise,43,34,9454,713.64,1
28,F,I5MDWPZ,City,02-03-2015,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,7:47:39,10,490.81,18218.03,24,619.28,Yes,Yes,No,Not Applicable,Poor Customer Service,1,Basic,11,8,364,262.96,4
14,M,X1EP2NW,City,27-07-2015,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,13:00:44,24,83.92,29685.81,18,730.41,Yes,No,No,Not Applicable,Too many ads,0,Enterprise,31,24,11573,763.8,3
13,F,EXG1KG5,Village,21-09-2017,Yes,CID24914,Gift Vouchers/Coupons,Desktop,Fiber_Optic,12:40:08,5,-1003.556113,37798.73,20,1025.35763,No,Yes,No,Not Applicable,Poor Product Quality,1,Basic,9,9,297,142.23000000000002,0
30,M,JPIZMTO,Town,09-01-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,19:28:46,22,100.39,7178.99,Error,565.57,Yes,No,Yes,Solved,Poor Customer Service,1,Basic,12,11,280,150.56,6
16,F,1P16DG9,City,31-05-2017,No,xxxxxxxx,Without Offers,Both,Wi-Fi,8:28:41,9,-881.0560957,16634.06,25,421.0597239,No,Yes,No,Not Applicable,Too many ads,0,Enterprise,37,33,10427,673.49,3
44,M,FK8NEPG,Town,12-01-2017,Yes,CID9999,Without Offers,Smartphone,Mobile_Data,15:25:02,14,54.67,68060.83,19,785.09,Yes,No,Yes,Solved,Products always in Stock,0,Enterprise,32,26,8017,548.05,1
44,M,0IVW0KN,Town,25-12-2015,Yes,CID57689,Credit/Debit Card Offers,Desktop,Wi-Fi,17:08:07,17,103.96,46061.62,29,622.57,No,Yes,Yes,Solved,Poor Website,1,Basic,12,12,230,269.21,4
24,F,VFMH30Z,,01-09-2017,Yes,CID42541,Without Offers,Both,Wi-Fi,16:03:55,17,590.77,19398.92,29,794.8,No,Yes,No,Not Applicable,Too many ads,0,Pro,19,18,1717,247.6,4
19,F,CPC0H7A,City,31-10-2017,No,xxxxxxxx,Without Offers,?,Fiber_Optic,22:49:30,19,53.45,16044.85,28,721.81,Yes,No,No,Not Applicable,Too many ads,0,Enterprise,31,26,13812,462.19,1
45,F,E6MWDNN,Town,02-04-2015,Yes,CID43378,Credit/Debit Card Offers,Smartphone,Fiber_Optic,1:32:00,8,1675.34,40126.57,Error,655.41,Yes,No,No,Not Applicable,Poor Product Quality,0,Basic,12,11,332,214.89,3
13,M,TZ8K6X2,Town,24-07-2015,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,13:20:42,24,325.58,10094.22,Error,761.92,Yes,No,No,Not Applicable,No reason specified,0,Pro,32,28,2042,783.9,6
39,F,2RSORV4,,05-04-2017,Yes,CID34886,Gift Vouchers/Coupons,Desktop,Fiber_Optic,9:07:10,4,481.35,2115.73,19,,No,Yes,No,Not Applicable,Too many ads,0,Pro,27,25,2403,653.45,0
59,F,UC4OQF7,Town,26-12-2015,Yes,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,18:03:24,19,822.7,21836.96,16,,No,Yes,Yes,Solved in Follow-up,No reason specified,1,Basic,8,7,226,163.07999999999998,4
58,M,ZW0D98B,Village,19-09-2017,?,CID56874,Gift Vouchers/Coupons,Desktop,Wi-Fi,3:40:12,17,170.99,22484.56,6,627.38,No,Yes,No,Not Applicable,Poor Customer Service,1,Basic,9,9,445,226.15,1
25,F,AP14F4A,City,19-12-2016,?,CID22149,Gift Vouchers/Coupons,Desktop,Wi-Fi,12:52:26,15,67.75,8010.83,Error,637.13,Yes,No,Yes,Unsolved,Too many ads,1,Pro,29,26,1516,808.95,0
30,F,UCLKLKM,,31-12-2015,Yes,CID52123,Gift Vouchers/Coupons,?,Fiber_Optic,13:12:09,3,32.97,49465.11,Error,371.1620701,Yes,No,Yes,No Information Available,Poor Website,1,Basic,17,15,308,289.87,3
48,F,77UE2G4,City,25-12-2017,Yes,CID17394,Gift Vouchers/Coupons,?,Fiber_Optic,4:26:12,9,639.31,30501.45,16,593.36,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,1,Basic,14,13,329,285.41,0
